t,v
1496043130,1806
1496053542,1807
1496053760,1771
1515318466,1904
1515318684,1803
1515329109,1680
1515329320,1808
1515329528,1715
1515329746,1679
1515329960,1744
1515330170,1816
1515330378,1710
1515330588,1694
1515330803,1817
1515331020,1817
1515331228,1690
1515331438,1742
1515331654,1739
1515331865,1712
1515332073,1807
1515342500,1812
1515342717,1702
1515342928,1783
1515343136,1726
1515343346,1685
1515343554,1819
1515343773,1729
1515343987,1681
1515344198,1757
1515344406,1731
1515344624,1697
1515344832,1816
1515345047,1718
1515345255,1737
1515345465,1707
1515345682,1812
1515356091,1771
1515356299,1730
1515356510,1694
1515356726,1810
1515356942,1813
1515357151,1693
1515357361,1712
1515357569,1734
1515357788,1702
1515358001,1681
1515358211,1761
1515358419,1733
1515358637,1694
1515358846,1808
1515359060,1658
1515369494,1738
1515369713,1710
1515369921,1813
1515370132,1739
1515370340,1669
1515370550,1806
1515370766,1712
1515370979,1806
1515371187,1712
1515371397,1675
1515371605,1815
1515371823,1733
1515372036,1726
1515372246,1681
1515372454,1812
1515372672,1739
1515383069,1810
1515383279,1735
1515383487,1659
1515383705,1787
1515383913,1712
1515384124,1671
1515384332,1815
1515384542,1726
1515384758,1747
1515384973,1680
1515385181,1815
1515385391,1735
1515385599,1734
1515385818,1810
1515386028,1699
1515396492,1703
1515396709,1808
1515396919,1730
1515397128,1744
1515397338,1811
1515397547,1703
1515397764,1661
1515397976,1681
1515398186,1764
1515398395,1731
1515398605,1707
1515398820,1805
1515399035,1719
1515399244,1735
1515399454,1709
1515399670,1806
1515410051,1745
1515410259,1674
1515410469,1787
1515410685,1719
1515410896,1693
1515411105,1735
1515411315,1712
1515411523,1794
1515411741,1817
1515411954,1745
1515412164,1715
1515412373,1776
1515412583,1815
1515412799,1690
1515413011,1814
1515423400,1701
1515423618,1812
1515423827,1697
1515424043,1694
1515424252,1808
1515424462,1741
1515424678,1664
1515424888,1816
1515425098,1690
1515425308,1731
1515425516,1735
1515425734,1701
1515425945,1734
1515426155,1701
1515426363,1808
1515426573,1739
1515437028,1739
1515437239,1712
1515437447,1781
1515437665,1817
1515437873,1733
1515438089,1703
1515438297,1808
1515438507,1747
1515438723,1675
1515438940,1663
1515439148,1746
1515439358,1717
1515439567,1805
1515439785,1754
1515439996,1793
1515440206,1817
1515450644,1817
1515450854,1728
1515451064,1813
1515451275,1736
1515451483,1675
1515451701,1809
1515451909,1696
1515452120,1693
1515452328,1738
1515452538,1713
1515452754,1782
1515452970,1712
1515453178,1737
1515453388,1712
1515453596,1715
1515464027,1707
1515464235,1803
1515464445,1760
1515464662,1659
1515464872,1808
1515465081,1708
1515465291,1660
1515465499,1815
1515465717,1728
1515465927,1813
1515466137,1733
1515466345,1699
1515466556,1811
1515466772,1706
1515466987,1733
