t,v,m
35085777,1914,0
35085993,1919,0
35086201,1958,0
35086412,1841,0
35086628,1968,0
35086838,1878,0
35087048,1968,0
35087258,1877,0
35087467,1872,0
35087685,1970,0
35087893,1966,0
35088107,1877,0
35088315,1819,0
35088525,1959,0
35088742,1840,0
35088958,1825,0
35099406,1959,0
35099624,1882,0
35099832,1799,0
35100048,1851,0
35100257,1875,0
35100467,1840,0
35100683,1962,0
35100893,1962,0
35101107,1843,0
35101317,1827,0
35101525,1876,0
35101742,1874,0
35101956,1851,0
35102166,1794,0
35102374,1886,0
35102584,1846,0
35113016,1926,0
35113226,1968,0
35113434,1815,0
35113653,1949,0
35113861,1852,0
35114071,1808,0
35114280,1879,0
35114490,1851,0
35114706,1951,0
35114916,1879,0
35115124,1798,0
35115334,1955,0
35115543,1846,0
35115761,1794,0
35115975,1963,0
35126404,1844,0
35126620,1966,0
35126830,1873,0
35127041,1968,0
35127251,1871,0
35127459,1895,0
35127677,1966,0
35127885,1797,0
35128097,1948,0
35128305,1847,0
35128515,1803,0
35128732,1876,0
35128946,1967,0
35129155,1827,0
35129365,1903,0
35129573,1871,0
35139999,1831,0
35140207,1967,0
35140418,1873,0
35140634,1913,0
35140844,1968,0
35141058,1870,0
35141269,1827,0
35141477,1967,0
35141695,1872,0
35141903,1927,0
35142114,1968,0
35142322,1793,0
35142532,1917,0
35142748,1861,0
35142963,1875,0
35153398,1962,0
35153608,1878,0
35153824,1804,0
35154040,1819,0
35154248,1877,0
35154459,1847,0
35154675,1958,0
35154885,1819,0
35155097,1894,0
35155307,1857,0
35155515,1945,0
35155734,1877,0
35155948,1851,0
35156158,1792,0
35156366,1879,0
35156576,1841,0
35166978,1967,0
35167188,1872,0
35167396,1900,0
35167606,1967,0
35167823,1828,0
35168035,1968,0
35168243,1821,0
35168453,1917,0
35168670,1861,0
35168880,1872,0
35169093,1870,0
35169303,1966,0
35169512,1829,0
35169730,1904,0
35169945,1968,0
35180396,1841,0
35180604,1966,0
35180823,1874,0
35181033,1966,0
35181243,1873,0
35181451,1877,0
35181670,1968,0
35181878,1875,0
35182094,1840,0
35182302,1962,0
35182512,1876,0
35182728,1829,0
35182944,1811,0
35183152,1968,0
35183362,1861,0
35183570,1923,0
35194025,1793,0
35194233,1883,0
35194443,1854,0
35194659,1947,0
35194869,1883,0
35195078,1797,0
35195288,1954,0
35195496,1849,0
35195715,1843,0
35195923,1872,0
35196133,1833,0
35196341,1967,0
35196552,1873,0
35196768,1859,0
35196983,1815,0
35197191,1968,0
35207640,1867,0
35207849,1927,0
35208063,1815,0
35208271,1967,0
35208481,1865,0
